sg;quality;size;#conditions;description
1;0.00224;250;1;c < 2.50000
2;0.00224;250;1;c < 2.50000
3;0.00224;250;2;c < 2.50000 && c < 2.50000
4;0.00224;250;2;c < 2.50000 && c < 2.50000
5;0.00224;250;2;c < 4.50000 && c < 3.00000
6;0.00224;250;2;c < 3.50000 && c < 3.00000
7;0.00192;125;2;c < 2.50000 && c > 1.00000
8;0.00192;125;2;c < 2.50000 && c > 1.00000
9;0.00192;125;2;c < 2.50000 && c > 1.00000
10;0.00192;125;2;c < 2.50000 && c > 1.00000
11;0.00128;500;1;c < 4.50000
12;0.00128;500;2;c < 4.50000 && c < 4.50000
13;0.00096;375;1;c < 3.50000
14;0.00096;375;2;c < 4.50000 && c > 1.00000
15;0.00096;375;2;c < 4.50000 && c < 4.00000
16;0.00096;375;2;c < 3.50000 && c < 3.50000
17;0.00064;250;2;c < 3.50000 && c > 1.00000
18;0.00032;125;1;c < 1.50000
19;0.00032;125;2;c < 2.50000 && c < 2.00000
20;0.00032;125;2;c < 2.50000 && c < 2.00000
21;0.00032;125;2;c < 2.50000 && c < 2.00000
22;0.00032;125;2;c < 2.50000 && c < 2.00000
23;0.00032;125;2;c < 4.50000 && c < 2.00000
24;0.00032;125;2;c < 4.50000 && c > 3.00000
25;0.00032;125;2;c < 3.50000 && c < 2.00000
26;0.00032;125;2;c < 3.50000 && c < 2.00000
27;0.00032;125;2;c < 1.50000 && c < 1.50000
28;-0.00032;500;1;c > 1.50000
29;-0.00096;250;1;c > 3.50000
30;-0.00096;250;2;c < 4.50000 && c > 2.00000
31;-0.00128;125;1;c > 4.50000
32;-0.00128;125;2;c < 3.50000 && c > 2.00000
33;-0.00128;125;2;c < 3.50000 && c > 2.00000
34;-0.00224;375;1;c > 2.50000
35;-0.00224;375;1;c > 2.50000
