sg;quality;size;#conditions;description
1;0.20222;56;3;b < 1.90000 && b > 0.40000 && b < 1.80000
2;0.20000;54;3;b > 0.20000 && b < 1.70000 && b > 0.40000
3;0.18889;50;3;b < 1.90000 && b > 0.40000 && b < 1.60000
4;0.18667;66;3;b < 1.90000 && b > 0.20000 && b > 0.80000
5;0.18222;68;2;b < 1.90000 && b > 0.40000
6;0.17111;70;3;b < 1.90000 && b > 0.20000 && b < 1.80000
7;0.16889;68;2;b > 0.20000 && b < 1.70000
8;0.16889;68;3;b > 0.20000 && b < 2.00000 && b < 1.65000
9;0.16222;44;2;b > 1.15000 && b < 1.80000
10;0.16000;42;3;b > 0.20000 && b < 1.70000 && b > 1.15000
11;0.15778;64;3;b > 0.20000 && b < 1.70000 && b < 1.60000
12;0.15778;64;3;b < 1.90000 && b > 0.20000 && b < 1.55000
13;0.15111;82;2;b < 1.90000 && b > 0.20000
14;0.15111;82;3;b > 0.20000 && b < 2.00000 && b < 1.90000
15;0.14889;38;3;b < 1.90000 && b > 0.40000 && b < 1.50000
16;0.14889;38;3;b > 1.15000 && b < 1.80000 && b < 1.60000
17;0.14444;64;3;b > 0.20000 && b < 2.00000 && b > 1.00000
18;0.14000;87;2;b > 0.20000 && b < 2.00000
19;0.13111;61;2;b > 1.15000 && b < 2.00000
20;0.12667;33;2;b > 1.25000 && b < 1.60000
21;0.12222;29;2;b < 1.50000 && b > 1.00000
22;0.12000;51;2;b > 1.25000 && b < 1.85000
23;0.12000;51;3;b < 1.90000 && b > 0.40000 && b > 1.20000
24;0.11778;52;2;b < 1.50000 && b > 0.20000
25;0.11778;52;2;b < 1.50000 && b > 0.25000
26;0.11778;52;3;b > 0.20000 && b < 1.70000 && b < 1.45000
27;0.11778;67;2;b > 1.15000 && b < 2.10000
28;0.10889;26;2;b > 1.15000 && b < 1.50000
29;0.10889;56;2;b > 1.25000 && b < 1.95000
30;0.10889;26;3;b > 1.15000 && b < 1.80000 && b < 1.50000
31;0.09556;104;2;b < 1.90000 && b < 1.80000
32;0.08889;44;2;b > 0.20000 && b < 1.40000
33;0.08889;44;3;b < 1.90000 && b > 0.20000 && b < 1.40000
34;0.08889;44;3;b > 0.20000 && b < 2.00000 && b < 1.40000
35;0.08222;113;2;b > 0.20000 && b < 2.50000
36;0.08222;26;3;b > 1.15000 && b < 1.80000 && b > 1.30000
37;0.08222;26;3;b > 1.15000 && b < 1.80000 && b > 1.30000
38;0.08222;68;2;b > 1.25000 && b < 2.15000
39;0.08000;93;2;b > 0.20000 && b > 1.05000
40;0.08000;18;2;b > 1.15000 && b < 1.35000
41;0.08000;24;3;b > 0.20000 && b < 1.70000 && b > 1.30000
42;0.08000;18;3;b > 1.15000 && b < 1.80000 && b < 1.40000
43;0.07556;116;1;b > 0.20000
44;0.07556;116;1;b < 1.90000
45;0.06667;90;1;b > 1.15000
46;0.06222;38;2;b < 1.90000 && b > 1.30000
47;0.06222;38;3;b < 1.90000 && b > 0.40000 && b > 1.30000
48;0.06222;38;3;b < 1.90000 && b > 0.20000 && b > 1.30000
49;0.06222;17;3;b < 1.90000 && b > 0.40000 && b < 1.30000
50;0.05778;13;2;b > 1.25000 && b < 1.40000
51;0.05333;18;3;b > 1.15000 && b < 1.80000 && b > 1.40000
52;0.05111;43;3;b > 0.20000 && b < 2.00000 && b > 1.30000
53;0.05111;16;3;b > 0.20000 && b < 1.70000 && b > 1.45000
54;0.04444;85;1;b > 1.25000
55;0.04222;86;1;b < 1.50000
56;0.04222;86;2;b < 1.90000 && b < 1.50000
57;0.04000;12;3;b < 1.90000 && b > 0.40000 && b < 1.20000
58;0.03333;30;3;b < 1.90000 && b > 0.20000 && b > 1.40000
59;0.03111;31;3;b > 0.20000 && b < 1.70000 && b < 1.30000
60;0.03111;31;3;b < 1.90000 && b > 0.20000 && b < 1.30000
61;0.03111;31;3;b > 0.20000 && b < 2.00000 && b < 1.30000
62;0.02889;8;2;b < 1.50000 && b > 1.30000
63;0.02222;5;3;b > 1.15000 && b < 1.80000 && b < 1.30000
64;0.02222;5;3;b > 1.15000 && b < 1.80000 && b < 1.30000
65;0.02222;35;3;b > 0.20000 && b < 2.00000 && b > 1.40000
66;0.01333;78;2;b < 1.50000 && b < 1.40000
67;0.01333;6;3;b > 1.15000 && b < 1.80000 && b > 1.50000
68;0.00889;26;3;b > 0.20000 && b < 1.70000 && b < 1.15000
69;0.00222;2;3;b > 1.15000 && b < 1.80000 && b > 1.60000
70;-0.00444;23;2;b > 0.20000 && b < 1.05000
71;-0.00667;18;2;b < 1.90000 && b > 1.50000
72;-0.00667;18;3;b < 1.90000 && b > 0.40000 && b > 1.50000
73;-0.00667;18;3;b < 1.90000 && b > 0.20000 && b > 1.55000
74;-0.01333;72;2;b > 1.15000 && b > 1.35000
75;-0.01333;6;1;b < 0.20000
76;-0.01333;6;2;b < 1.90000 && b < 0.20000
77;-0.01333;6;2;b < 1.50000 && b < 0.20000
78;-0.01556;7;3;b > 0.20000 && b < 1.70000 && b < 0.40000
79;-0.01778;14;3;b < 1.90000 && b > 0.40000 && b > 1.60000
80;-0.02889;19;3;b > 0.20000 && b < 2.00000 && b > 1.65000
81;-0.03556;16;3;b < 1.90000 && b > 0.20000 && b < 0.80000
82;-0.03556;16;3;b > 0.20000 && b < 2.00000 && b < 1.00000
83;-0.03778;17;2;b > 1.15000 && b > 2.10000
84;-0.03778;17;2;b > 1.25000 && b > 2.15000
85;-0.04222;64;2;b > 0.20000 && b > 1.40000
86;-0.04222;64;2;b > 1.25000 && b > 1.40000
87;-0.04444;65;1;b < 1.25000
88;-0.04444;65;2;b < 1.90000 && b < 1.30000
89;-0.04444;65;2;b < 1.50000 && b < 1.30000
90;-0.05111;23;2;b > 0.20000 && b > 2.00000
91;-0.05111;23;2;b > 1.15000 && b > 2.00000
92;-0.06444;29;1;b > 1.90000
93;-0.06444;29;2;b > 1.25000 && b > 1.95000
94;-0.06667;60;1;b < 1.15000
95;-0.07556;34;2;b > 1.15000 && b > 1.80000
96;-0.07556;34;2;b < 1.50000 && b < 0.25000
97;-0.07556;34;2;b > 1.25000 && b > 1.85000
98;-0.08222;52;1;b > 1.50000
99;-0.08222;52;2;b > 1.15000 && b > 1.50000
100;-0.09111;41;2;b < 1.90000 && b < 0.40000
101;-0.09333;48;2;b > 1.25000 && b > 1.60000
102;-0.09556;46;2;b > 0.20000 && b > 1.70000
103;-0.11111;50;2;b < 1.50000 && b < 1.00000
