sg;quality;size;#conditions;description
1;0.20667;54;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000
2;0.20444;52;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000
3;0.20222;56;3;b < 1.90000 && b > 0.40000 && b < 1.80000
4;0.20222;56;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000
5;0.20000;54;3;b > 0.20000 && b < 1.70000 && b > 0.40000
6;0.20000;54;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000
7;0.18889;50;3;b < 1.90000 && b > 0.40000 && b < 1.60000
8;0.18889;50;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.55000
9;0.18889;50;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.55000
10;0.18667;66;3;b < 1.90000 && b > 0.20000 && b > 0.80000
11;0.18222;68;2;b < 1.90000 && b > 0.40000
12;0.17111;70;3;b < 1.90000 && b > 0.20000 && b < 1.80000
13;0.17111;70;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000
14;0.16889;68;2;b > 0.20000 && b < 1.70000
15;0.16889;68;3;b > 0.20000 && b < 2.00000 && b < 1.65000
16;0.16222;44;2;b > 1.15000 && b < 1.80000
17;0.16222;44;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b > 1.10000
18;0.16000;42;3;b > 0.20000 && b < 1.70000 && b > 1.15000
19;0.16000;42;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b > 1.10000
20;0.15778;64;3;b > 0.20000 && b < 1.70000 && b < 1.60000
21;0.15778;64;3;b < 1.90000 && b > 0.20000 && b < 1.55000
22;0.15333;36;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.50000
23;0.15111;82;2;b < 1.90000 && b > 0.20000
24;0.15111;82;3;b > 0.20000 && b < 2.00000 && b < 1.90000
25;0.14889;38;3;b < 1.90000 && b > 0.40000 && b < 1.50000
26;0.14889;38;3;b > 1.15000 && b < 1.80000 && b < 1.60000
27;0.14889;38;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.50000
28;0.14889;38;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.50000
29;0.14889;38;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b > 1.10000
30;0.14889;38;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.50000
31;0.14444;64;3;b > 0.20000 && b < 2.00000 && b > 1.00000
32;0.14000;39;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 1.20000
33;0.14000;87;2;b > 0.20000 && b < 2.00000
34;0.13111;61;2;b > 1.15000 && b < 2.00000
35;0.12667;33;2;b > 1.25000 && b < 1.60000
36;0.12222;29;2;b < 1.50000 && b > 1.00000
37;0.12000;51;2;b > 1.25000 && b < 1.85000
38;0.12000;51;3;b < 1.90000 && b > 0.40000 && b > 1.20000
39;0.12000;30;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.40000
40;0.12000;30;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.35000
41;0.12000;51;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b > 1.20000
42;0.12000;30;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.35000
43;0.11778;52;2;b < 1.50000 && b > 0.20000
44;0.11778;52;2;b < 1.50000 && b > 0.25000
45;0.11778;52;3;b > 0.20000 && b < 1.70000 && b < 1.45000
46;0.11778;52;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.50000
47;0.11778;67;2;b > 1.15000 && b < 2.10000
48;0.10889;26;2;b > 1.15000 && b < 1.50000
49;0.10889;56;2;b > 1.25000 && b < 1.95000
50;0.10889;26;3;b > 1.15000 && b < 1.80000 && b < 1.50000
51;0.09556;104;2;b < 1.90000 && b < 1.80000
52;0.08889;44;2;b > 0.20000 && b < 1.40000
53;0.08889;44;3;b < 1.90000 && b > 0.20000 && b < 1.40000
54;0.08889;44;3;b > 0.20000 && b < 2.00000 && b < 1.40000
55;0.08222;113;2;b > 0.20000 && b < 2.50000
56;0.08222;26;3;b > 1.15000 && b < 1.80000 && b > 1.30000
57;0.08222;26;3;b > 1.15000 && b < 1.80000 && b > 1.30000
58;0.08222;26;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b > 1.30000
59;0.08222;26;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 1.30000
60;0.08222;68;2;b > 1.25000 && b < 2.15000
61;0.08000;93;2;b > 0.20000 && b > 1.05000
62;0.08000;18;2;b > 1.15000 && b < 1.35000
63;0.08000;24;3;b > 0.20000 && b < 1.70000 && b > 1.30000
64;0.08000;18;3;b > 1.15000 && b < 1.80000 && b < 1.40000
65;0.08000;24;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b > 1.30000
66;0.08000;24;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b > 1.35000
67;0.07556;116;1;b > 0.20000
68;0.07556;116;1;b < 1.90000
69;0.06889;20;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b > 1.30000
70;0.06889;20;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b > 1.35000
71;0.06667;15;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.30000
72;0.06667;90;1;b > 1.15000
