sg;quality;size;#conditions;description
1;0.20667;54;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000
2;0.20444;52;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000
3;0.20222;56;3;b < 1.90000 && b > 0.40000 && b < 1.80000
4;0.20222;56;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000
5;0.20222;56;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000
6;0.20000;54;3;b > 0.20000 && b < 1.70000 && b > 0.40000
7;0.20000;54;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000
8;0.20000;54;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000
9;0.19333;48;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000
10;0.19333;48;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000
11;0.18889;50;3;b < 1.90000 && b > 0.40000 && b < 1.60000
12;0.18889;50;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.55000
13;0.18889;50;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.55000
14;0.18889;50;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b < 1.55000
15;0.18667;66;3;b < 1.90000 && b > 0.20000 && b > 0.80000
16;0.18222;68;2;b < 1.90000 && b > 0.40000
17;0.17111;70;3;b < 1.90000 && b > 0.20000 && b < 1.80000
18;0.17111;70;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000
19;0.17111;70;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000
20;0.16889;68;2;b > 0.20000 && b < 1.70000
21;0.16889;68;3;b > 0.20000 && b < 2.00000 && b < 1.65000
22;0.16222;44;2;b > 1.15000 && b < 1.80000
23;0.16222;44;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b > 1.10000
24;0.16222;44;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b > 1.15000
25;0.16222;44;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b > 1.10000
26;0.16000;42;3;b > 0.20000 && b < 1.70000 && b > 1.15000
27;0.16000;42;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b > 1.10000
28;0.16000;42;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b > 1.15000
29;0.16000;42;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b > 1.10000
30;0.15778;64;3;b > 0.20000 && b < 1.70000 && b < 1.60000
31;0.15778;64;3;b < 1.90000 && b > 0.20000 && b < 1.55000
32;0.15333;36;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.50000
33;0.15333;36;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.50000
34;0.15333;36;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.50000
35;0.15111;82;2;b < 1.90000 && b > 0.20000
36;0.15111;82;3;b > 0.20000 && b < 2.00000 && b < 1.90000
37;0.14889;38;3;b < 1.90000 && b > 0.40000 && b < 1.50000
38;0.14889;38;3;b > 1.15000 && b < 1.80000 && b < 1.60000
39;0.14889;38;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.50000
40;0.14889;38;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.50000
41;0.14889;38;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b > 1.10000
42;0.14889;38;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.50000
43;0.14889;38;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.50000
44;0.14889;38;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b < 1.50000
45;0.14444;64;3;b > 0.20000 && b < 2.00000 && b > 1.00000
46;0.14000;39;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 1.20000
47;0.14000;39;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 1.20000
48;0.14000;87;2;b > 0.20000 && b < 2.00000
49;0.13111;61;2;b > 1.15000 && b < 2.00000
50;0.12667;33;2;b > 1.25000 && b < 1.60000
51;0.12444;28;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.40000
52;0.12444;28;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.40000
53;0.12222;29;2;b < 1.50000 && b > 1.00000
54;0.12000;51;2;b > 1.25000 && b < 1.85000
55;0.12000;51;3;b < 1.90000 && b > 0.40000 && b > 1.20000
56;0.12000;30;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.40000
57;0.12000;30;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.35000
58;0.12000;51;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b > 1.20000
59;0.12000;30;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.35000
60;0.12000;30;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.40000
61;0.12000;30;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b < 1.35000
