sg;quality;size;#conditions;description
1;0.20667;54;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000
2;0.20444;52;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000
3;0.20222;56;3;b < 1.90000 && b > 0.40000 && b < 1.80000
4;0.20222;56;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000
5;0.20222;56;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000
6;0.20222;56;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000
7;0.20222;56;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b > 0.45000
8;0.20000;54;3;b > 0.20000 && b < 1.70000 && b > 0.40000
9;0.20000;54;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000
10;0.20000;54;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000
11;0.20000;54;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000
12;0.20000;54;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b < 1.70000
13;0.19333;48;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000
14;0.19333;48;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000
15;0.18889;50;3;b < 1.90000 && b > 0.40000 && b < 1.60000
16;0.18889;50;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b < 1.55000
17;0.18889;50;4;b < 1.90000 && b > 0.40000 && b < 1.60000 && b < 1.55000
18;0.18889;50;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b < 1.55000
19;0.18889;50;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000
20;0.18889;50;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b < 1.55000
21;0.18889;50;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b < 1.55000 && b < 1.55000
22;0.18667;66;3;b < 1.90000 && b > 0.20000 && b > 0.80000
23;0.18222;68;2;b < 1.90000 && b > 0.40000
24;0.17111;70;3;b < 1.90000 && b > 0.20000 && b < 1.80000
25;0.17111;70;4;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000
26;0.17111;70;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000
27;0.17111;70;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000
28;0.17111;70;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b < 1.75000 && b < 1.75000
29;0.16889;68;2;b > 0.20000 && b < 1.70000
30;0.16889;68;3;b > 0.20000 && b < 2.00000 && b < 1.65000
31;0.16222;44;2;b > 1.15000 && b < 1.80000
32;0.16222;44;4;b < 1.90000 && b > 0.40000 && b < 1.80000 && b > 1.10000
33;0.16222;44;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b > 1.15000
34;0.16222;44;5;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b > 1.10000
35;0.16222;44;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b > 1.10000
36;0.16222;44;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b < 1.75000 && b > 0.45000 && b > 1.10000
37;0.16000;42;3;b > 0.20000 && b < 1.70000 && b > 1.15000
38;0.16000;42;4;b > 0.20000 && b < 1.70000 && b > 0.40000 && b > 1.10000
39;0.16000;42;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b > 1.15000
40;0.16000;42;5;b < 1.90000 && b > 0.40000 && b < 1.80000 && b < 1.70000 && b > 1.10000
41;0.16000;42;6;b < 1.90000 && b > 0.20000 && b < 1.80000 && b > 0.45000 && b < 1.70000 && b > 1.10000
42;0.16000;42;7;b < 1.90000 && b > 0.20000 && b < 1.80000 && b < 1.75000 && b > 0.45000 && b < 1.70000 && b > 1.10000
43;0.15778;64;3;b > 0.20000 && b < 1.70000 && b < 1.60000
44;0.15778;64;3;b < 1.90000 && b > 0.20000 && b < 1.55000
45;0.15333;36;4;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.50000
46;0.15333;36;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.50000
47;0.15333;36;5;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.50000
48;0.15333;36;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b < 1.45000
49;0.15333;36;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.80000 && b < 1.60000 && b < 1.50000
50;0.15333;36;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b < 1.45000
51;0.15333;36;6;b < 1.90000 && b > 0.20000 && b > 0.80000 && b < 1.65000 && b < 1.60000 && b < 1.50000
